alpha,dataset,defense,auc_noattack,auc_fedsdf,delta_auc
0.1,cifar,Bulyan,42.6222,13.4458,29.1764
0.1,f-mnist,Bulyan,76.7102,22.7466,53.9636
0.1,mnist,Bulyan,90.3517,17.4013,72.9504
0.1,cifar,CC,60.8386,33.5192,27.3194
0.1,f-mnist,CC,85.167,57.7677,27.3993
0.1,mnist,CC,96.1762,17.2653,78.9109
0.1,cifar,FedAvg,62.0869,31.1217,30.9652
0.1,f-mnist,FedAvg,84.343,49.5044,34.8386
0.1,mnist,FedAvg,96.0196,28.0606,67.959
0.1,cifar,Multi-Krum,52.0456,17.4966,34.549
0.1,f-mnist,Multi-Krum,80.1908,32.1467,48.0441
0.1,mnist,Multi-Krum,93.1043,23.3755,69.7288
0.1,cifar,RFA,59.3094,13.2179,46.0915
0.1,f-mnist,RFA,81.86,29.6143,52.2457
0.1,mnist,RFA,92.8594,15.0734,77.786
0.1,cifar,RoFL,61.3971,24.3109,37.0862
0.1,f-mnist,RoFL,85.2548,40.0592,45.1956
0.1,mnist,RoFL,95.6366,27.3106,68.326
0.1,cifar,Trimmed-mean,56.2376,23.1604,33.0772
0.1,f-mnist,Trimmed-mean,82.9963,51.1929,31.8034
0.1,mnist,Trimmed-mean,91.3685,31.0213,60.3472
0.3,cifar,Bulyan,59.3372,16.2656,43.0716
0.3,f-mnist,Bulyan,84.8243,34.5488,50.2755
0.3,mnist,Bulyan,95.3407,16.1272,79.2135
0.3,cifar,CC,67.5321,40.0626,27.4695
0.3,f-mnist,CC,87.3798,53.6499,33.7299
0.3,mnist,CC,96.7987,28.7233,68.0754
0.3,cifar,FedAvg,67.2603,36.0375,31.2228
0.3,f-mnist,FedAvg,87.3607,50.7361,36.6246
0.3,mnist,FedAvg,97.0548,29.5571,67.4977
0.3,cifar,Multi-Krum,62.2971,26.6254,35.6717
0.3,f-mnist,Multi-Krum,85.7082,38.9184,46.7898
0.3,mnist,Multi-Krum,95.9597,26.4692,69.4905
0.3,cifar,RFA,65.7029,13.5588,52.1441
