dataset,defense,attack,epochs_used,auc_noattack,auc_attack,delta_auc_pp
cifar,Bulyan,Fang,100,62.68,65.21,-2.53
cifar,Bulyan,FedGhost,100,62.68,53.21,9.47
cifar,Bulyan,FedSDF,100,62.68,18.07,44.61
cifar,Bulyan,I-FMPA,100,62.68,13.06,49.62
cifar,Bulyan,LIE,100,62.68,14.67,48.01
cifar,Bulyan,MinMax,100,62.68,40.58,22.1
cifar,Bulyan,MinSum,100,62.68,21.79,40.89
cifar,Bulyan,PoisonedFL,100,62.68,48.07,14.61
cifar,CC,Fang,100,67.66,20.21,47.45
cifar,CC,FedGhost,100,67.66,52.26,15.4
cifar,CC,FedSDF,100,67.66,32.21,35.45
cifar,CC,I-FMPA,100,67.66,60.15,7.52
cifar,CC,LIE,100,67.66,62.28,5.38
cifar,CC,MinMax,100,67.66,62.08,5.58
cifar,CC,MinSum,100,67.66,62.04,5.63
cifar,CC,PoisonedFL,100,67.66,51.67,15.99
cifar,FedAvg,Fang,100,66.81,21.56,45.25
cifar,FedAvg,FedGhost,100,66.81,60.6,6.21
cifar,FedAvg,FedSDF,100,66.81,31.63,35.18
cifar,FedAvg,I-FMPA,100,66.81,58.89,7.92
cifar,FedAvg,LIE,100,66.81,61.32,5.49
cifar,FedAvg,MinMax,100,66.81,59.46,7.35
cifar,FedAvg,MinSum,100,66.81,60.89,5.92
cifar,FedAvg,PoisonedFL,100,66.81,60.26,6.54
cifar,Multi-Krum,Fang,100,62.81,61.45,1.36
cifar,Multi-Krum,FedGhost,100,62.81,56.25,6.56
cifar,Multi-Krum,FedSDF,100,62.81,21.6,41.21
cifar,Multi-Krum,I-FMPA,100,62.81,48.58,14.23
cifar,Multi-Krum,LIE,100,62.81,34.37,28.44
cifar,Multi-Krum,MinMax,100,62.81,49.12,13.69
cifar,Multi-Krum,MinSum,100,62.81,53.74,9.07
cifar,Multi-Krum,PoisonedFL,100,62.81,55.37,7.44
cifar,RFA,Fang,100,66.57,46.54,20.03
cifar,RFA,FedGhost,100,66.57,49.81,16.76
cifar,RFA,FedSDF,100,66.57,12.86,53.71
cifar,RFA,I-FMPA,100,66.57,11.07,55.51
cifar,RFA,LIE,100,66.57,56.2,10.37
cifar,RFA,MinMax,100,66.57,61.68,4.89
cifar,RFA,MinSum,100,66.57,62.19,4.38
cifar,RFA,PoisonedFL,100,66.57,45.79,20.78
cifar,RoFL,Fang,100,66.59,22.02,44.57
cifar,RoFL,FedGhost,100,66.59,59.82,6.77
cifar,RoFL,FedSDF,100,66.59,36.45,30.14
cifar,RoFL,I-FMPA,100,66.59,61.48,5.11
cifar,RoFL,LIE,100,66.59,64.74,1.85
cifar,RoFL,MinMax,100,66.59,60.17,6.42
cifar,RoFL,MinSum,100,66.59,63.74,2.85
cifar,RoFL,PoisonedFL,100,66.59,61.04,5.54
cifar,Trimmed-mean,Fang,100,65.35,30.91,34.44
cifar,Trimmed-mean,FedGhost,100,65.35,58.45,6.9
cifar,Trimmed-mean,FedSDF,100,65.35,28.18,37.17
cifar,Trimmed-mean,I-FMPA,100,65.35,48.33,17.02
cifar,Trimmed-mean,LIE,100,65.35,59.95,5.4
cifar,Trimmed-mean,MinMax,100,65.35,55.83,9.52
cifar,Trimmed-mean,MinSum,100,65.35,59.1,6.25
cifar,Trimmed-mean,PoisonedFL,100,65.35,57.1,8.25
f-mnist,Bulyan,Fang,100,86.35,87.41,-1.06
f-mnist,Bulyan,FedGhost,100,86.35,85.11,1.24
f-mnist,Bulyan,FedSDF,100,86.35,32.3,54.05
f-mnist,Bulyan,I-FMPA,100,86.35,43.93,42.43
f-mnist,Bulyan,LIE,100,86.35,26.42,59.94
f-mnist,Bulyan,MinMax,100,86.35,78.29,8.06
f-mnist,Bulyan,MinSum,100,86.35,82.72,3.63
f-mnist,Bulyan,PoisonedFL,100,86.35,84.5,1.86
f-mnist,CC,Fang,100,88.27,46.09,42.18
f-mnist,CC,FedGhost,100,88.27,86.32,1.94
f-mnist,CC,FedSDF,100,88.27,67.81,20.46
f-mnist,CC,I-FMPA,100,88.27,84.99,3.28
f-mnist,CC,LIE,100,88.27,86.66,1.6
f-mnist,CC,MinMax,100,88.27,86.54,1.73
f-mnist,CC,MinSum,100,88.27,86.85,1.42
f-mnist,CC,PoisonedFL,100,88.27,85.99,2.28
f-mnist,FedAvg,Fang,100,88.02,45.19,42.83
f-mnist,FedAvg,FedGhost,100,88.02,88.67,-0.66
f-mnist,FedAvg,FedSDF,100,88.02,54.93,33.09
f-mnist,FedAvg,I-FMPA,100,88.02,84.2,3.82
