dataset,defense,attack,epochs_used,auc_noattack,auc_attack,delta_auc_pp
cifar,Bulyan,Fang,40,57.49,60.18,-2.7
cifar,Bulyan,FedGhost,40,57.49,48.71,8.77
cifar,Bulyan,FedSDF,40,57.49,30.18,27.31
cifar,Bulyan,I-FMPA,40,57.49,15.85,41.64
cifar,Bulyan,LIE,40,57.49,21.66,35.82
cifar,Bulyan,MinMax,40,57.49,39.55,17.94
cifar,Bulyan,MinSum,40,57.49,25.29,32.19
cifar,Bulyan,PoisonedFL,40,57.49,40.11,17.37
cifar,CC,Fang,40,62.66,19.68,42.98
cifar,CC,FedGhost,40,62.66,43.69,18.97
cifar,CC,FedSDF,40,62.66,51.75,10.91
cifar,CC,I-FMPA,40,62.66,55.21,7.45
cifar,CC,LIE,40,62.66,57.71,4.95
cifar,CC,MinMax,40,62.66,55.95,6.71
cifar,CC,MinSum,40,62.66,56.14,6.52
cifar,CC,PoisonedFL,40,62.66,43.09,19.57
cifar,FedAvg,Fang,40,62.18,20.93,41.25
cifar,FedAvg,FedGhost,40,62.18,57.99,4.2
cifar,FedAvg,FedSDF,40,62.18,51.77,10.42
cifar,FedAvg,I-FMPA,40,62.18,53.7,8.48
cifar,FedAvg,LIE,40,62.18,58.89,3.29
cifar,FedAvg,MinMax,40,62.18,53.63,8.56
cifar,FedAvg,MinSum,40,62.18,55.05,7.14
cifar,FedAvg,PoisonedFL,40,62.18,57.46,4.72
cifar,Multi-Krum,Fang,40,58.15,61.61,-3.46
cifar,Multi-Krum,FedGhost,40,58.15,53.96,4.19
cifar,Multi-Krum,FedSDF,40,58.15,38.48,19.68
cifar,Multi-Krum,I-FMPA,40,58.15,43.36,14.79
cifar,Multi-Krum,LIE,40,58.15,49.08,9.08
cifar,Multi-Krum,MinMax,40,58.15,44.76,13.4
cifar,Multi-Krum,MinSum,40,58.15,47.94,10.21
cifar,Multi-Krum,PoisonedFL,40,58.15,52.68,5.47
cifar,RFA,Fang,40,61.77,44.18,17.59
cifar,RFA,FedGhost,40,61.77,48.14,13.63
cifar,RFA,FedSDF,40,61.77,17.15,44.61
cifar,RFA,I-FMPA,40,61.77,13.26,48.5
cifar,RFA,LIE,40,61.77,56.05,5.72
cifar,RFA,MinMax,40,61.77,54.34,7.43
cifar,RFA,MinSum,40,61.77,55.95,5.81
cifar,RFA,PoisonedFL,40,61.77,41.38,20.38
cifar,RoFL,Fang,40,62.12,20.86,41.26
cifar,RoFL,FedGhost,40,62.12,57.26,4.86
cifar,RoFL,FedSDF,40,62.12,53.44,8.68
cifar,RoFL,I-FMPA,40,62.12,56.44,5.68
cifar,RoFL,LIE,40,62.12,60.63,1.49
cifar,RoFL,MinMax,40,62.12,53.48,8.63
cifar,RoFL,MinSum,40,62.12,58.14,3.97
cifar,RoFL,PoisonedFL,40,62.12,58.16,3.96
cifar,Trimmed-mean,Fang,40,60.26,27.15,33.11
cifar,Trimmed-mean,FedGhost,40,60.26,55.2,5.06
cifar,Trimmed-mean,FedSDF,40,60.26,47.23,13.03
cifar,Trimmed-mean,I-FMPA,40,60.26,40.71,19.55
cifar,Trimmed-mean,LIE,40,60.26,57.4,2.87
cifar,Trimmed-mean,MinMax,40,60.26,50.32,9.94
cifar,Trimmed-mean,MinSum,40,60.26,53.34,6.92
cifar,Trimmed-mean,PoisonedFL,40,60.26,52.7,7.56
f-mnist,Bulyan,Fang,40,83.87,85.21,-1.34
f-mnist,Bulyan,FedGhost,40,83.87,83.27,0.6
f-mnist,Bulyan,FedSDF,40,83.87,62.79,21.08
f-mnist,Bulyan,I-FMPA,40,83.87,48.77,35.1
f-mnist,Bulyan,LIE,40,83.87,51.04,32.83
f-mnist,Bulyan,MinMax,40,83.87,77.16,6.71
f-mnist,Bulyan,MinSum,40,83.87,80.64,3.23
f-mnist,Bulyan,PoisonedFL,40,83.87,81.79,2.08
f-mnist,CC,Fang,40,86.08,32.7,53.38
f-mnist,CC,FedGhost,40,86.08,83.56,2.52
f-mnist,CC,FedSDF,40,86.08,83.58,2.5
f-mnist,CC,I-FMPA,40,86.08,82.98,3.1
f-mnist,CC,LIE,40,86.08,84.64,1.44
f-mnist,CC,MinMax,40,86.08,84.51,1.57
f-mnist,CC,MinSum,40,86.08,84.61,1.47
f-mnist,CC,PoisonedFL,40,86.08,82.36,3.71
f-mnist,FedAvg,Fang,40,86.02,33.16,52.86
f-mnist,FedAvg,FedGhost,40,86.02,87.77,-1.75
f-mnist,FedAvg,FedSDF,40,86.02,85.29,0.73
f-mnist,FedAvg,I-FMPA,40,86.02,82.12,3.9
f-mnist,FedAvg,LIE,40,86.02,83.14,2.88
f-mnist,FedAvg,MinMax,40,86.02,84.82,1.2
f-mnist,FedAvg,MinSum,40,86.02,84.81,1.21
f-mnist,FedAvg,PoisonedFL,40,86.02,86.85,-0.82
f-mnist,Multi-Krum,Fang,40,85.59,85.71,-0.12
f-mnist,Multi-Krum,FedGhost,40,85.59,86.45,-0.86
f-mnist,Multi-Krum,FedSDF,40,85.59,77.97,7.62
f-mnist,Multi-Krum,I-FMPA,40,85.59,71.69,13.89
f-mnist,Multi-Krum,LIE,40,85.59,81.57,4.02
f-mnist,Multi-Krum,MinMax,40,85.59,81.49,4.1
f-mnist,Multi-Krum,MinSum,40,85.59,82.4,3.19
f-mnist,Multi-Krum,PoisonedFL,40,85.59,85.59,-0.0
f-mnist,RFA,Fang,40,85.83,78.53,7.3
f-mnist,RFA,FedGhost,40,85.83,83.73,2.1
f-mnist,RFA,FedSDF,40,85.83,54.78,31.05
f-mnist,RFA,I-FMPA,40,85.83,46.98,38.85
f-mnist,RFA,LIE,40,85.83,83.96,1.87
f-mnist,RFA,MinMax,40,85.83,84.6,1.23
f-mnist,RFA,MinSum,40,85.83,84.92,0.91
f-mnist,RFA,PoisonedFL,40,85.83,81.41,4.42
f-mnist,RoFL,Fang,40,86.17,42.12,44.05
f-mnist,RoFL,FedGhost,40,86.17,87.07,-0.9
f-mnist,RoFL,FedSDF,40,86.17,85.39,0.78
f-mnist,RoFL,I-FMPA,40,86.17,83.6,2.57
f-mnist,RoFL,LIE,40,86.17,84.68,1.49
f-mnist,RoFL,MinMax,40,86.17,84.25,1.92
f-mnist,RoFL,MinSum,40,86.17,85.09,1.08
f-mnist,RoFL,PoisonedFL,40,86.17,87.26,-1.09
f-mnist,Trimmed-mean,Fang,40,85.41,63.83,21.58
f-mnist,Trimmed-mean,FedGhost,40,85.41,86.92,-1.51
f-mnist,Trimmed-mean,FedSDF,40,85.41,83.32,2.09
f-mnist,Trimmed-mean,I-FMPA,40,85.41,79.3,6.11
f-mnist,Trimmed-mean,LIE,40,85.41,83.8,1.6
f-mnist,Trimmed-mean,MinMax,40,85.41,83.81,1.6
f-mnist,Trimmed-mean,MinSum,40,85.41,83.78,1.63
f-mnist,Trimmed-mean,PoisonedFL,40,85.41,85.66,-0.25
mnist,Bulyan,Fang,40,94.45,94.95,-0.5
mnist,Bulyan,FedGhost,40,94.45,92.17,2.28
mnist,Bulyan,FedSDF,40,94.45,30.78,63.67
mnist,Bulyan,I-FMPA,40,94.45,21.9,72.55
mnist,Bulyan,LIE,40,94.45,52.33,42.12
mnist,Bulyan,MinMax,40,94.45,86.18,8.27
mnist,Bulyan,MinSum,40,94.45,90.99,3.46
mnist,Bulyan,PoisonedFL,40,94.45,87.93,6.53
mnist,CC,Fang,40,96.08,45.47,50.61
mnist,CC,FedGhost,40,96.08,88.57,7.51
mnist,CC,FedSDF,40,96.08,69.22,26.86
mnist,CC,I-FMPA,40,96.08,90.42,5.67
mnist,CC,LIE,40,96.08,94.43,1.65
mnist,CC,MinMax,40,96.08,94.83,1.25
mnist,CC,MinSum,40,96.08,94.98,1.11
mnist,CC,PoisonedFL,40,96.08,88.91,7.18
mnist,FedAvg,Fang,40,96.22,46.65,49.56
mnist,FedAvg,FedGhost,40,96.22,95.4,0.82
mnist,FedAvg,FedSDF,40,96.22,54.76,41.45
mnist,FedAvg,I-FMPA,40,96.22,92.1,4.12
mnist,FedAvg,LIE,40,96.22,95.15,1.07
mnist,FedAvg,MinMax,40,96.22,93.73,2.48
mnist,FedAvg,MinSum,40,96.22,95.08,1.13
mnist,FedAvg,PoisonedFL,40,96.22,95.0,1.22
mnist,Multi-Krum,Fang,40,95.33,96.01,-0.68
mnist,Multi-Krum,FedGhost,40,95.33,94.89,0.44
mnist,Multi-Krum,FedSDF,40,95.33,54.97,40.36
mnist,Multi-Krum,I-FMPA,40,95.33,80.96,14.37
mnist,Multi-Krum,LIE,40,95.33,81.44,13.9
mnist,Multi-Krum,MinMax,40,95.33,89.35,5.98
mnist,Multi-Krum,MinSum,40,95.33,92.52,2.81
mnist,Multi-Krum,PoisonedFL,40,95.33,93.92,1.41
mnist,RFA,Fang,40,95.69,93.57,2.12
mnist,RFA,FedGhost,40,95.69,92.33,3.36
mnist,RFA,FedSDF,40,95.69,12.84,82.85
mnist,RFA,I-FMPA,40,95.69,32.41,63.28
mnist,RFA,LIE,40,95.69,93.1,2.59
mnist,RFA,MinMax,40,95.69,94.99,0.7
mnist,RFA,MinSum,40,95.69,94.95,0.74
mnist,RFA,PoisonedFL,40,95.69,85.14,10.55
mnist,RoFL,Fang,40,96.16,47.63,48.52
mnist,RoFL,FedGhost,40,96.16,95.59,0.57
mnist,RoFL,FedSDF,40,96.16,50.7,45.46
mnist,RoFL,I-FMPA,40,96.16,90.89,5.27
mnist,RoFL,LIE,40,96.16,95.2,0.96
mnist,RoFL,MinMax,40,96.16,94.16,1.99
mnist,RoFL,MinSum,40,96.16,95.28,0.88
mnist,RoFL,PoisonedFL,40,96.16,95.13,1.03
mnist,Trimmed-mean,Fang,40,95.73,79.76,15.97
mnist,Trimmed-mean,FedGhost,40,95.73,93.09,2.64
mnist,Trimmed-mean,FedSDF,40,95.73,75.75,19.98
mnist,Trimmed-mean,I-FMPA,40,95.73,76.59,19.14
mnist,Trimmed-mean,LIE,40,95.73,92.89,2.84
mnist,Trimmed-mean,MinMax,40,95.73,93.98,1.75
mnist,Trimmed-mean,MinSum,40,95.73,94.48,1.25
mnist,Trimmed-mean,PoisonedFL,40,95.73,92.68,3.05
